award_date,awardee_name,agency,award_amount,naics,sole_source,filter_result,filter_reason,first_8k_date,first_pr_date,last_dilutive_filing_date,dilutive_filing_type,agency_prior_win_count,ticker_confidence,score,ticker,market_cap,value_to_mcap_pct,entry_date,entry_price,exit_date,exit_price,exit_reason,pnl_pct,hit_tp,hit_sl,timed_out,tp_target,sl_target,return_t7,peak_pnl_pct
2023-03-01,ADC LTD NM,Department of Homeland Security,29917723.75,541611,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,PARAGON SYSTEMS INC,Department of Homeland Security,10501113.77,561612,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,MCKESSON CORPORATION,Department of Health and Human Services,5838700.0,325412,False,fail,Historical market cap $42487M exceeds $1000M limit,,,,,0,high,,,,,,,,,,,,,,,,,
2023-03-01,PATH,Department of Veterans Affairs,1445400.0,623220,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,CHEROKEE NATION SYSTEM SOLUTIONS LLC,Department of State,1078794.8,561210,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-04,"TOPSARGE BUSINESS SOLUTIONS, LLC",Department of Defense,1906082.32,541990,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-31,"AECOM TECHNICAL SERVICES, INC.",Environmental Protection Agency,5485988.0,562910,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"YULISTA SOLUTIONS, LLC",National Aeronautics and Space Administration,122731225.5,488190,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-17,LAUREL TECHNOLOGIES PARTNERSHIP,Department of Defense,31344650.62,334511,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-29,"SEHMI ENTERPRISE, INC.",Department of Health and Human Services,2222063.32,541611,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"INMARSAT GOVERNMENT, INC.",Department of Defense,6877711.33,517410,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
